Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
90894,Dictee,Theresa Hak Kyung Cha,"Cha, Theresa Hak Kyung",,"=""0520231120""","=""9780520231122""",4,4.02,University of California Press,Paperback,179,2001,1982,2022/05/03,2022/05/03,,,read,,,,1,0
44279110,My Year of Rest and Relaxation,Ottessa Moshfegh,"Moshfegh, Ottessa",,"=""0525522131""","=""9780525522133""",5,3.67,Penguin Books,Paperback,289,2019,2018,2022/03/27,2022/01/03,,,read,,,,1,0
35031085,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",Charlotte Gordon,"=""""","=""""",4,3.86,Penguin Classics,Paperback,260,2018,1818,2022/02/06,2022/02/03,,,read,,,,1,0
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",4,3.80,Back Bay Books,Paperback,234,2001,1951,,2021/12/06,,,read,,,,1,0
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""""","=""""",5,4.34,Riverhead Books,Paperback,371,2004,2003,2022/02/03,2022/01/02,,,read,,,,1,0
6282753,The Museum of Innocence,Orhan Pamuk,"Pamuk, Orhan",Maureen Freely,"=""0307266761""","=""9780307266767""",0,3.77,Knopf,Hardcover,536,2009,2008,,2022/01/17,to-read,to-read (#2),to-read,,,,0,0
57357165,My Body Keeps Your Secrets,Lucia Osborne-Crowley,"Osborne-Crowley, Lucia",,"=""1911648136""","=""9781911648130""",0,4.14,The Indigo Press,Paperback,256,2021,2021,,2022/01/17,to-read,to-read (#1),to-read,,,,0,0
41057294,Normal People,Sally Rooney,"Rooney, Sally",,"=""1984822179""","=""9781984822178""",5,3.81,Hogarth,Hardcover,273,2019,2018,2022/01/14,2021/12/08,,,read,,,,1,0
56597885,"Beautiful World, Where Are You",Sally Rooney,"Rooney, Sally",,"=""0374602603""","=""9780374602604""",5,3.55,"Farrar, Straus and Giroux",Hardcover,356,2021,2021,2022/01/07,2021/12/26,,,read,,,,1,0
29780253,Born a Crime: Stories From a South African Childhood,Trevor Noah,"Noah, Trevor",,"=""""","=""""",5,4.49,Doubleday Canada,Hardcover,289,2016,2016,,2022/01/02,,,read,,,,1,0
20342617,Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,"Stevenson, Bryan",,"=""""","=""""",5,4.63,One World,Hardcover,336,2014,2014,,2022/01/02,,,read,,,,1,0
5113,Franny and Zooey,J.D. Salinger,"Salinger, J.D.",,"=""0316769029""","=""9780316769020""",5,3.96,Back Bay Books,Paperback,201,2001,1957,,2021/12/26,,,read,,,,1,0
38746485,Becoming,Michelle Obama,"Obama, Michelle",,"=""""","=""""",4,4.47,Crown,Hardcover,426,2018,2018,,2021/12/25,,,read,,,,1,0
20819682,Adultery,Paulo Coelho,"Coelho, Paulo","Margaret Jull Costa, Zoë Perry","=""1101874082""","=""9781101874080""",4,3.08,Knopf,Hardcover,272,2014,2012,,2021/12/06,,,read,,,,1,0
40554208,This Land Is Our Land: An Immigrant’s Manifesto,Suketu Mehta,"Mehta, Suketu",,"=""1473563496""","=""9781473563490""",4,4.13,Vintage Digital,ebook,,2019,2019,,2021/12/06,,,read,,,,1,0
31837,The Consolation of Philosophy,Boethius,"Boethius, Boethius",Victor  Watts,"=""0140447806""","=""9780140447804""",4,4.01,Penguin Classics,Paperback,155,1999,524,,2021/12/06,,,read,,,,1,0
11324722,The Righteous Mind: Why Good People Are Divided by Politics and Religion,Jonathan Haidt,"Haidt, Jonathan",Simona Drelciuc,"=""""","=""""",3,4.21,Pantheon,Hardcover,419,2012,2012,,2021/12/06,,,read,,,,1,0
16280,Why Are All The Black Kids Sitting Together in the Cafeteria?,Beverly Daniel Tatum,"Tatum, Beverly Daniel",,"=""0465083617""","=""9780465083619""",5,4.33,Basic Books,Paperback,464,2017,1997,,2021/12/06,,,read,,,,1,0
5587960,The Thing Around Your Neck,Chimamanda Ngozi Adichie,"Adichie, Chimamanda Ngozi",,"=""0307271072""","=""9780307271075""",5,4.24,Knopf,Hardcover,218,2009,2008,,2021/12/06,,,read,,,,1,0
39731666,Hippie,Paulo Coelho,"Coelho, Paulo",,"=""1473562678""","=""9781473562677""",5,3.62,Cornerstone Digital,ebook,306,2018,2018,,2021/12/06,,,read,,,,1,0
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo",,"=""0062315005""","=""9780062315007""",5,3.90,HarperOne,Paperback,182,2014,1988,,2021/12/06,,,read,,,,1,0
